IDborrower,IDlender,getID,IsExpired,GetLinkedAgentID,getType,Initial Borrower,Initial Lender,Linked Borrower (IB Market),Linked Lender (IB Market),IB Deposit Rate Linked Agent,IB Loan Rate Linked Agent
7,0,32,0,0,1,7,,,,,
7,0,32,1,0,1,7,,,,,
7,0,32,1,0,1,7,,,,,
0,20,39,0,0,2,,20,,,,
0,20,39,0,0,21,,,,,,
0,20,39,1,0,21,,,,,,
0,20,39,1,0,21,,,,,,
0,20,39,1,0,21,,,,,,
0,20,39,1,0,21,,,,,,
23,0,33,0,0,1,23,,,,,
23,0,33,0,0,11,23,,0,,0,
23,0,33,1,0,11,23,,0,,0,
23,0,33,1,0,11,23,,0,,0,
24,0,34,0,0,1,24,,,,,
24,0,34,1,0,1,24,,,,,
24,0,34,1,0,1,24,,,,,
0,4,40,0,0,2,,4,,,,
0,4,40,0,0,21,,,,,,
0,4,40,1,0,21,,,,,,
0,4,40,1,0,21,,,,,,
0,4,40,1,0,21,,,,,,
0,4,40,1,0,21,,,,,,
0,22,41,0,0,2,,22,,,,
0,22,41,0,0,21,,,,,,
0,22,41,1,0,21,,,,,,
0,22,41,1,0,21,,,,,,
0,22,41,1,0,21,,,,,,
0,22,41,1,0,21,,,,,,
0,4,42,0,0,2,,4,,,,
0,4,42,0,0,21,,,,,,
0,4,42,1,0,21,,,,,,
0,4,42,1,0,21,,,,,,
0,4,42,1,0,21,,,,,,
0,4,42,1,0,21,,,,,,
7,0,35,0,0,1,7,,,,,
7,0,35,1,0,1,7,,,,,
7,0,35,1,0,1,7,,,,,
0,20,43,0,0,2,,20,,,,
0,20,43,0,0,21,,,,,,
0,20,43,1,0,21,,,,,,
0,20,43,1,0,21,,,,,,
0,20,43,1,0,21,,,,,,
0,20,43,1,0,21,,,,,,
24,0,36,0,0,1,24,,,,,
24,0,36,1,0,1,24,,,,,
24,0,36,1,0,1,24,,,,,
0,27,44,0,0,2,,27,,,,
0,27,44,1,0,2,,27,,,,
0,27,44,1,0,2,,27,,,,
26,0,37,0,0,1,26,,,,,
26,0,37,0,0,11,26,,0,,0,
26,0,37,1,0,11,26,,0,,0,
26,0,37,1,0,11,26,,0,,0,
0,25,45,0,0,2,,25,,,,
0,25,45,0,0,21,,,,,,
0,25,45,1,0,21,,,,,,
0,25,45,1,0,21,,,,,,
0,25,45,1,0,21,,,,,,
0,25,45,1,0,21,,,,,,
0,21,46,0,0,2,,21,,,,
0,21,46,0,0,21,,,,,,
0,21,46,1,0,21,,,,,,
0,21,46,1,0,21,,,,,,
0,21,46,1,0,21,,,,,,
0,21,46,1,0,21,,,,,,
0,26,47,0,0,2,,26,,,,
0,26,47,0,0,21,,,,,,
0,26,47,1,0,21,,,,,,
0,26,47,1,0,21,,,,,,
0,26,47,1,0,21,,,,,,
0,26,47,1,0,21,,,,,,
0,23,48,0,0,2,,23,,,,
0,23,48,0,0,21,,,,,,
0,23,48,1,0,21,,,,,,
0,23,48,1,0,21,,,,,,
0,23,48,1,0,21,,,,,,
0,23,48,1,0,21,,,,,,
22,0,38,0,0,1,22,,,,,
22,0,38,0,0,11,22,,0,,0,
22,0,38,1,0,11,22,,0,,0,
22,0,38,1,0,11,22,,0,,0,
26,0,39,0,0,1,26,,,,,
26,0,39,0,0,11,26,,0,,0,
26,0,39,1,0,11,26,,0,,0,
26,0,39,1,0,11,26,,0,,0,
0,21,49,0,0,2,,21,,,,
0,21,49,0,0,21,,,,,,
0,21,49,1,0,21,,,,,,
0,21,49,1,0,21,,,,,,
0,21,49,1,0,21,,,,,,
0,21,49,1,0,21,,,,,,
0,22,50,0,0,2,,22,,,,
0,22,50,0,0,21,,,,,,
0,22,50,1,0,21,,,,,,
0,22,50,1,0,21,,,,,,
0,22,50,1,0,21,,,,,,
0,22,50,1,0,21,,,,,,
4,0,40,0,0,1,4,,,,,
4,0,40,0,0,11,4,,0,,0,
4,0,40,1,0,11,4,,0,,0,
4,0,40,1,0,11,4,,0,,0,
19,0,41,0,0,1,19,,,,,
19,0,41,0,0,11,19,,0,,0,
19,0,41,1,0,11,19,,0,,0,
19,0,41,1,0,11,19,,0,,0,
0,26,51,0,0,2,,26,,,,
0,26,51,0,0,21,,,,,,
0,26,51,1,0,21,,,,,,
0,26,51,1,0,21,,,,,,
0,26,51,1,0,21,,,,,,
0,26,51,1,0,21,,,,,,
0,27,52,0,0,2,,27,,,,
0,27,52,0,0,21,,,,,,
0,27,52,1,0,21,,,,,,
0,27,52,1,0,21,,,,,,
0,27,52,1,0,21,,,,,,
0,27,52,1,0,21,,,,,,
19,0,42,0,0,1,19,,,,,
19,0,42,0,0,11,19,,0,,0,
19,0,42,1,0,11,19,,0,,0,
19,0,42,1,0,11,19,,0,,0,
0,21,53,0,0,2,,21,,,,
0,21,53,0,0,21,,,,,,
0,21,53,1,0,21,,,,,,
0,21,53,1,0,21,,,,,,
0,21,53,1,0,21,,,,,,
0,21,53,1,0,21,,,,,,
18,0,43,0,0,1,18,,,,,
18,0,43,1,0,1,18,,,,,
18,0,43,1,0,1,18,,,,,
26,0,44,0,0,1,26,,,,,
26,0,44,0,0,11,26,,0,,0,
26,0,44,1,0,11,26,,0,,0,
26,0,44,1,0,11,26,,0,,0,
26,0,45,0,0,1,26,,,,,
26,0,45,0,0,11,26,,0,,0,
26,0,45,1,0,11,26,,0,,0,
26,0,45,1,0,11,26,,0,,0,
0,27,54,0,0,2,,27,,,,
0,27,54,0,0,21,,,,,,
0,27,54,1,0,21,,,,,,
0,27,54,1,0,21,,,,,,
0,27,54,1,0,21,,,,,,
