IDborrower,IDlender,getID,IsExpired,GetLinkedAgentID,getType,Initial Borrower,Initial Lender,Linked Borrower (IB Market),Linked Lender (IB Market),IB Deposit Rate Linked Agent,IB Loan Rate Linked Agent
0,5,1689,0,2,21,,,,,,
0,5,1689,1,2,21,,,,,,
0,5,1689,1,2,21,,,,,,
0,5,1689,1,2,21,,,,,,
0,5,1689,1,2,21,,,,,,
2,0,1580,0,0,1,2,,,,,
5,0,1581,0,0,1,5,,,,,
0,0,1690,0,0,2,,0,,,,
0,0,1690,0,4,21,,,,,,
0,0,1690,1,4,21,,,,,,
0,0,1690,1,4,21,,,,,,
0,0,1690,1,4,21,,,,,,
0,0,1690,1,4,21,,,,,,
0,7,1691,0,0,2,,7,,,,
0,7,1691,0,3,21,,,,,,
0,7,1691,1,3,21,,,,,,
0,7,1691,1,3,21,,,,,,
0,7,1691,1,3,21,,,,,,
0,7,1691,1,3,21,,,,,,
0,1,1692,0,0,2,,1,,,,
4,0,1582,0,0,1,4,,,,,
0,9,1693,0,0,2,,9,,,,
0,9,1693,0,4,21,,,,,,
0,9,1693,1,4,21,,,,,,
0,9,1693,1,4,21,,,,,,
0,9,1693,1,4,21,,,,,,
0,9,1693,1,4,21,,,,,,
0,8,1694,0,0,2,,8,,,,
0,8,1694,0,6,21,,,,,,
0,8,1694,1,6,21,,,,,,
0,8,1694,1,6,21,,,,,,
0,8,1694,1,6,21,,,,,,
0,8,1694,1,6,21,,,,,,
7,0,1583,0,0,1,7,,,,,
0,7,1695,0,0,2,,7,,,,
0,7,1695,0,5,21,,,,,,
0,7,1695,1,5,21,,,,,,
0,7,1695,1,5,21,,,,,,
0,7,1695,1,5,21,,,,,,
0,7,1695,1,5,21,,,,,,
7,0,1584,0,0,1,7,,,,,
0,7,1696,0,0,2,,7,,,,
0,7,1696,0,5,21,,,,,,
0,7,1696,1,5,21,,,,,,
0,7,1696,1,5,21,,,,,,
0,7,1696,1,5,21,,,,,,
0,7,1696,1,5,21,,,,,,
0,4,1697,0,0,2,,4,,,,
0,4,1697,0,8,21,,,,,,
0,4,1697,1,8,21,,,,,,
0,4,1697,1,8,21,,,,,,
0,4,1697,1,8,21,,,,,,
0,4,1697,1,8,21,,,,,,
4,0,1585,0,0,1,4,,,,,
0,8,1698,0,0,2,,8,,,,
0,8,1698,1,0,2,,8,,,,
0,8,1698,1,0,2,,8,,,,
2,0,1586,0,0,1,2,,,,,
5,0,1587,0,0,1,5,,,,,
